  dataset  labelCluster   labelTIL  labelTumor
cptacCoad             0 100.000000    0.000000
cptacCoad             1 100.000000    0.000000
cptacCoad             2 100.000000    0.000000
cptacCoad             4 100.000000    0.000000
cptacCoad             5 100.000000    0.000000
   lizard             0  29.097943    0.000000
   lizard             1  57.074811    0.000000
   lizard             2  40.041234    0.000000
   lizard             3  28.456137    0.000000
   lizard             4  52.702400    0.000000
   lizard             5  51.728775    0.000000
    nucls             0  37.749902   27.597021
    nucls             1  47.016393   14.389800
    nucls             2  11.810139   56.958292
    nucls             3   7.818930   48.477366
    nucls             4  18.661057   35.131791
    nucls             5  16.782255   60.982901
   ocelot             0   0.000000   61.541889
   ocelot             1   0.000000   70.752741
   ocelot             2   0.000000   68.160985
   ocelot             3   0.000000   58.818989
   ocelot             4   0.000000   54.589976
   ocelot             5   0.000000   67.065676
  pannuke             0   0.000000   32.082480
  pannuke             1   0.000000   40.089734
  pannuke             2   0.000000   46.332341
  pannuke             3   0.000000   36.902223
  pannuke             4   0.000000   34.892541
  pannuke             5   0.000000   50.563366
 tcgaBrca             1 100.000000    0.000000
 tcgaBrca             2 100.000000    0.000000
 tcgaBrca             4 100.000000    0.000000
 tcgaBrca             5 100.000000    0.000000
