dataset,img_path,labelCluster
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_23_0_0_500_500.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_49_0_0_775_522.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_40_0_0_1509_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_55_0_0_1511_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_44_0_0_1340_1358.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_21_0_0_775_522.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_69_0_0_1607_1359.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_28_0_0_1140_782.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_1_0_0_1509_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_26_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_12_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_7_0_0_512_337.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_8_0_0_1236_972.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_52_0_0_1511_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_7_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_19_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_10_0_0_1318_1146.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_13_0_0_2145_1301.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_15_0_0_1509_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_64_0_0_910_896.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_19_0_0_1462_1113.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_15_0_0_1245_877.tif,0
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_53_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_67_0_0_1074_958.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_3_0_0_1511_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_58_0_0_1073_932.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_24_0_0_589_453.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_7_0_0_1511_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_16_0_0_1508_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_59_0_0_775_522.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_32_0_0_955_753.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_24_0_0_1054_1354.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_10_0_0_1508_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_2_0_0_775_522.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_50_0_0_1268_1005.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_21_0_0_1514_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_6_0_0_1500_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_37_0_0_1511_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_28_0_0_500_500.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/consep_2_0_0_500_500.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_43_0_0_1500_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_12_0_0_512_512.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_39_0_0_1107_672.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_26_0_0_500_500.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_11_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_23_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_61_0_0_1315_1007.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_60_0_0_1509_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_61_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_30_0_0_1343_869.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_1_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_56_0_0_1641_878.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_28_0_0_1509_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_18_0_0_1391_803.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_42_0_0_1614_1168.tif,3
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_36_0_0_1500_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_19_0_0_1511_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_29_0_0_1511_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_18_0_0_500_500.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/glas_29_0_0_775_522.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/dpath_34_0_0_1196_640.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/pannuke_19_0_0_500_500.tif,1
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_13_0_0_1511_1516.tif,2
lizard,/home/michael/data/ProcessedHistology/Lizard/inputs/original/crag_22_0_0_1508_1516.tif,2
