dataset,img_path,labelCluster
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/197_0_30758_102527_31782_103551.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/105_0_51232_45084_52256_46108.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/568_0_155745_59429_156769_60453.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/559_0_98398_32799_99422_33823.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/555_0_59448_71748_60472_72772.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/196_0_22556_38960_23580_39984.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/261_0_114831_96376_115855_97400.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/091_0_92247_57399_93271_58423.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/454_0_125083_14354_126107_15378.tif,0
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/413_0_59429_59429_60453_60453.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/464_0_14349_75847_15373_76871.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/190_0_16404_12303_17428_13327.tif,3
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/070_0_34838_38936_35862_39960.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/179_0_49214_38961_50238_39985.tif,0
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/295_0_4097_49168_5121_50192.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/016_0_32768_30720_33792_31744.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/360_0_157745_36876_158769_37900.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/052_0_92188_43021_93212_44045.tif,3
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/659_0_4097_6145_5121_7169.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/026_0_12288_30720_13312_31744.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/043_0_192573_6145_193597_7169.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/019_0_38912_65536_39936_66560.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/188_0_69718_55365_70742_56389.tif,0
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/542_0_98335_47118_99359_48142.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/585_0_110729_30758_111753_31782.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/423_0_38936_81971_39960_82995.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/134_0_32809_82022_33833_83046.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/062_0_43021_6145_44045_7169.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/035_0_83968_65536_84992_66560.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/191_0_20505_26657_21529_27681.tif,3
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/176_0_69696_59446_70720_60470.tif,3
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/502_0_43008_8192_44032_9216.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/219_0_118894_10249_119918_11273.tif,3
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/414_0_59429_73774_60453_74798.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/491_0_6149_84047_7173_85071.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/481_0_63567_18455_64591_19479.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/500_0_34816_61440_35840_62464.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/653_0_71769_67668_72793_68692.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/113_0_163942_40985_164966_42009.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/556_0_40999_14349_42023_15373.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/081_0_49199_77898_50223_78922.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/204_0_16404_32809_17428_33833.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/385_0_71702_10243_72726_11267.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/427_0_34826_53265_35850_54289.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/489_0_100447_63548_101471_64572.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/377_0_71702_18437_72726_19461.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/501_0_59392_34816_60416_35840.tif,1
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/422_0_38936_61478_39960_62502.tif,5
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/156_0_69719_34859_70743_35883.tif,3
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/155_0_49213_84073_50237_85097.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/272_0_34859_26657_35883_27681.tif,2
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/534_0_129064_14340_130088_15364.tif,3
ocelot,/home/michael/data/ProcessedHistology/Ocelot/inputs/original/441_0_32768_30720_33792_31744.tif,5
