dataset,img_name,l_mean,l_std,a_mean,a_std,b_mean,b_std
lizard,glas_56_0_0_775_522,137.0551081,43.10817978,48.0980744,13.18323606,223.0066469,21.5822411
lizard,crag_41_0_0_1511_1516,199.520284,34.80467782,15.37710309,15.81269563,223.5273286,63.44043653
lizard,crag_34_0_0_1512_1516,227.2488474,31.99100697,7.914513269,20.48376027,135.503296,122.6408817
lizard,glas_9_0_0_775_522,161.8046743,38.76442524,39.09759239,15.93612202,208.2801335,61.05190044
lizard,crag_4_0_0_1509_1516,191.2246018,39.99655155,20.25292178,16.72662503,218.1493379,65.46647081
lizard,pannuke_2_0_0_500_500,178.362904,45.72892202,24.140392,19.04323633,224.626832,43.03820946
lizard,glas_48_0_0_775_522,161.3282289,36.34238831,25.13721419,9.455728958,222.9371796,39.58790595
lizard,crag_46_0_0_1505_1516,198.6575334,29.94622391,18.49473917,9.83205758,238.3834786,27.75948735
lizard,dpath_54_0_0_1047_794,132.5843131,42.70042574,32.39649689,8.510885597,229.5298346,12.63042388
lizard,dpath_34_0_0_1196_640,139.2848597,48.20102543,20.63525946,7.459905911,233.3427793,14.09295048
lizard,glas_44_0_0_775_522,186.7647781,42.01847501,24.2925102,17.53100492,210.4579928,71.46219071
lizard,crag_36_0_0_1500_1516,217.6098668,26.44300764,11.8810985,11.23239448,238.4268166,49.87426112
lizard,crag_2_0_0_1512_1516,211.1546432,35.14757442,12.70199224,13.62175354,230.1032174,59.73447411
lizard,dpath_60_0_0_1403_1092,171.4751253,52.14162168,26.94768079,17.21252065,235.1659134,32.18961983
lizard,glas_52_0_0_775_522,202.4589223,25.25069826,22.40216537,11.21764211,226.8165097,55.36892116
lizard,consep_7_0_0_500_500,220.899044,29.54403919,12.694444,18.45120396,184.520848,107.4589979
lizard,pannuke_27_0_0_500_500,144.540676,74.43610195,14.964788,19.71544319,207.193996,87.30121173
lizard,dpath_44_0_0_1340_1358,148.4453377,49.76006229,32.52689919,15.15430121,230.4073094,15.87105727
lizard,consep_4_0_0_500_500,212.367084,20.29366614,16.280376,5.830750663,245.98064,16.89588995
lizard,glas_45_0_0_775_522,150.2845755,36.57478619,39.03121987,9.594654572,222.2068422,23.44757013
lizard,pannuke_17_0_0_500_500,186.550828,50.10229305,15.446672,9.262549332,232.68976,34.53222308
lizard,glas_51_0_0_775_522,161.5563564,49.18425407,38.01981708,16.75552096,217.1906761,51.76426195
lizard,glas_22_0_0_775_522,135.8372265,47.06687657,46.608308,11.42459081,227.6557014,23.71346713
lizard,crag_15_0_0_1509_1516,182.8877662,48.27738862,20.47348145,14.52015376,226.9580966,53.23782575
lizard,dpath_10_0_0_1318_1146,125.5815054,34.02247328,40.31027894,9.137198315,226.5541125,9.949601295
lizard,glas_36_0_0_775_522,184.2006056,35.36130845,29.79211717,17.3162928,219.8568755,60.44867315
lizard,dpath_5_0_0_1311_981,124.5003386,47.9944913,21.83655122,7.722880405,228.1664455,13.16940637
lizard,consep_14_0_0_500_500,187.831408,36.1392093,21.868636,8.44408358,234.351184,17.93387805
lizard,crag_24_0_0_1511_1516,212.989927,23.86576309,11.60320403,13.16827261,235.1273803,51.72497113
lizard,crag_55_0_0_1511_1516,219.9920194,26.69727237,9.563541941,14.03384373,222.0800214,77.77201118
lizard,crag_6_0_0_1500_1516,212.9747634,30.34208159,13.06622515,12.16129331,232.683748,58.0195621
lizard,crag_51_0_0_1511_1516,205.5552221,26.05026174,13.42365092,12.02396728,237.4732407,39.57182232
lizard,pannuke_21_0_0_500_500,196.980824,36.50356717,16.10816,8.075171169,234.9037,29.59202396
lizard,glas_54_0_0_775_522,176.6345594,48.2374119,30.9368879,16.16384978,215.2237474,63.23482783
lizard,dpath_45_0_0_970_699,156.6170627,59.33249608,17.62437945,12.30876855,232.7279914,34.11151112
lizard,crag_47_0_0_1509_1516,183.3380373,42.78465222,20.7999903,9.521060158,236.7450797,27.18308246
lizard,dpath_62_0_0_2042_1581,151.1568968,65.41011731,15.52778279,12.02781578,231.4315135,38.32845033
lizard,glas_18_0_0_775_522,201.7315511,34.69920356,23.57518972,21.81293059,197.9432308,87.75271483
lizard,glas_26_0_0_775_522,179.0620146,38.17341045,31.32989495,21.77458089,214.3949697,65.66159911
lizard,crag_28_0_0_1509_1516,206.2359624,23.99805795,18.66990493,9.046890168,241.891644,21.99319529
lizard,glas_14_0_0_775_522,191.1212285,42.01635654,23.55112347,21.99646696,203.1949969,81.28018175
lizard,crag_38_0_0_1508_1516,205.9751961,31.62041677,14.15019413,16.69211862,224.5970138,66.25031297
lizard,crag_20_0_0_1514_1516,205.5658097,31.77068311,14.50412944,12.30719035,234.1535628,50.42948702
lizard,glas_33_0_0_775_522,184.3735558,40.6630851,26.80436287,15.21746043,216.2636782,66.89932972
